#,Pick,Name,Pos,Team,Bye,Overall,StdDev,High,Low,TimesDrafted,Fantasy_yr
222,14.08,Baker Mayfield,QB,CAR,13,163.9,35.2,1.01,18.02,77,2022
223,14.08,Dontrell Hilliard,RB,TEN,6,163.9,19.3,12.02,17.11,16,2022
224,14.08,D'Ernest Johnson,RB,CLE,9,164.3,18.1,9.05,17.1,238,2022
225,14.08,Zach Wilson,QB,NYJ,10,164.4,32.3,1.01,18.06,111,2022
226,14.09,Logan Thomas,TE,WAS,14,164.7,19.8,7.11,18.06,377,2022
227,14.09,Jameson Williams,WR,DET,6,164.9,20,7.09,18.02,295,2022
228,14.09,K.J. Osborn,WR,MIN,7,165.1,19.4,10.05,18.05,76,2022
229,14.09,Arizona Defense,DEF,ARI,13,165.3,29.4,8.08,17.09,15,2022
230,14.1,Nico Collins,WR,HOU,6,165.6,22.1,8.04,18.06,131,2022
231,14.1,Gerald Everett,TE,LAC,8,165.6,21.3,8.02,18.06,195,2022
232,14.1,Matt Prater,PK,ARI,13,165.7,13.6,10.12,17.1,887,2022
233,14.1,Davis Mills,QB,HOU,6,165.8,20.2,10.04,18.05,31,2022
234,14.1,Alec Pierce,WR,IND,14,165.8,27.1,3.06,18.05,85,2022
235,14.1,Mason Crosby,PK,GB,14,166,25.3,7.07,18.04,39,2022
236,14.1,Miami Defense,DEF,MIA,11,166.3,21.9,9.09,18.05,102,2022
237,14.11,Jahan Dotson,WR,WAS,14,166.7,18.2,10.04,18.06,249,2022
238,14.11,Tim Patrick,WR,DEN,9,166.8,15.6,11.07,16.11,49,2022
239,14.11,James White,RB,NE,10,167,21.8,9.01,18.05,37,2022
240,14.11,Graham Gano,PK,CAR,13,167.3,27.2,9.04,17.1,13,2022
241,14.12,Denver Defense,DEF,DEN,9,167.7,19.2,8.05,18.06,506,2022
242,14.12,Samaje Perine,RB,CIN,10,168.3,19.7,9.09,18.05,145,2022
243,15.01,Baltimore Defense,DEF,BAL,10,168.8,23.6,4.02,18.06,195,2022
244,15.01,Myles Gaskin,RB,MIA,11,169.1,23.6,10.03,18.06,36,2022
245,15.01,Cameron Dicker,PK,FA,12,169.1,47.1,1.01,24.04,53,2022
246,15.01,Cleveland Defense,DEF,CLE,9,169.3,17.2,10.06,18.05,290,2022
247,15.02,Ryan Tannehill,QB,TEN,6,169.6,22.1,10.01,18.06,91,2022
248,15.02,Robby Anderson,WR,CAR,13,169.8,26.8,6.01,18.05,51,2022
249,15.02,Matt Breida,RB,NYG,9,170.5,24.4,10.02,18.08,71,2022
250,15.03,Daniel Jones,QB,NYG,9,170.6,20.4,11.03,18.06,59,2022
251,15.03,Jared Goff,QB,DET,6,170.8,24.1,12.06,18.02,20,2022
