#,Pick,Name,Pos,Team,Overall,StdDev,High,Low,TimesDrafted,Fantasy_yr
95,8.09,CeeDee Lamb,WR,DAL,93.2,8,4.05,10.04,611,2020
96,8.1,Aaron Rodgers,QB,GB,94.3,9.1,5.08,11.02,376,2020
97,8.11,Latavius Murray,RB,NO,94.9,7.2,6.03,9.12,489,2020
98,8.11,Marvin Jones,WR,DET,95.1,7.7,6.04,10.04,665,2020
99,8.12,Tevin Coleman,RB,SF,96.4,7.2,5.09,10.03,389,2020
100,9.01,Alexander Mattison,RB,MIN,96.7,7.4,6.07,10.03,350,2020
101,9.01,Kerryon Johnson,RB,DET,97.2,7.7,6.02,10.1,525,2020
102,9.02,Hunter Henry,TE,LAC,98,10.9,5.04,12.05,406,2020
103,9.04,Emmanuel Sanders,WR,NO,100,7.8,6.08,10.11,549,2020
104,9.05,Chase Edmonds,RB,ARI,101.1,7.4,6.11,10.12,446,2020
105,9.05,Damien Harris,RB,NE,101.1,6.7,6.05,11.01,324,2020
106,9.05,Josh Allen,QB,BUF,101.5,10,4.11,11.09,484,2020
107,9.07,Jamison Crowder,WR,NYJ,102.6,7.2,7.01,10.11,596,2020
108,9.09,Henry Ruggs III,WR,LV,104.5,7.6,4.1,11.1,463,2020
109,9.1,Mecole Hardman,WR,KC,106.1,9.1,7.03,11.02,330,2020
110,9.1,San Francisco Defense,DEF,SF,106.3,9.4,4.12,11.05,334,2020
111,9.11,Sony Michel,RB,NE,107.4,9.4,5.05,11.07,342,2020
112,9.12,Carson Wentz,QB,PHI,107.9,9.4,6.06,11.07,438,2020
113,10.02,Jalen Reagor,WR,PHI,109.5,6.4,8.03,11.12,303,2020
