Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST,Fantasy_yr,Posit
271,River Cracraft (MIA),0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.10%,2019,WR
272,Lance Lenoir Jr. (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%,2019,WR
273,Equanimeous St. Brown (CHI),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.20%,2019,WR
274,J.J. Jones (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%,2019,WR
275,Darvin Kidsy (FA),0,0,0,0,0,0,0,0,0,0,0,4,0,0,0.00%,2019,WR
276,Derrick Willies (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%,2019,WR
277,Daurice Fountain (CHI),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%,2019,WR
278,Ty Montgomery (NE),13,17,90,6.9,21,1,0,32,103,0,0,16,0,0,0.70%,2019,WR
279,Rashad Greene (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%,2019,WR
280,Kaelin Clay (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%,2019,WR
281,Freddie Martino (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.10%,2019,WR
282,Keenan Reynolds (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%,2019,WR
283,Alonzo Russell (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%,2019,WR
284,Charone Peake (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%,2019,WR
285,Leonte Carroo (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%,2019,WR
286,Josh Doctson (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%,2019,WR
287,Corey Coleman (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%,2019,WR
288,Tony Jones (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%,2019,WR
289,Bradley Marquez (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%,2019,WR
290,Eli Rogers (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%,2019,WR
291,Darrius Shepherd (LAC),1,2,1,1,1,0,0,0,0,0,1,6,-1.9,-0.3,0.00%,2019,WR
292,Ray-Ray McCloud III (SF),0,0,0,0,0,0,0,0,0,0,1,6,-2,-0.3,0.60%,2019,WR
293,Greg Dortch (ARI),0,0,0,0,0,0,0,0,0,0,1,2,-2,-1,1.20%,2019,WR
294,Quincy Enunwa (FA),1,3,-4,-4,8,0,0,0,0,0,1,1,-2.4,-2.4,0.00%,2019,WR
295,Michael Walker (FA),2,3,15,7.5,9,0,0,0,0,0,2,7,-2.5,-0.4,0.00%,2019,WR
