SEASON,TEAM,NFL,NFL_TEAM_ID,ESPN,PFR,PFF,PFFLABEL,FO,FULL,LOCATION,SHORT_LOCATION,NICKNAME,HYPHENATED,TEAM_SEASON
2020,PHI,PHI,3700,PHI,PHI,24.0,PHI,PHI,Philadelphia Eagles,Philadelphia,Philadelphia,Eagles,Philadelphia-Eagles,2020_PHI
2020,PIT,PIT,3900,PIT,PIT,25.0,PIT,PIT,Pittsburgh Steelers,Pittsburgh,Pittsburgh,Steelers,Pittsburgh-Steelers,2020_PIT
2020,SEA,SEA,4600,SEA,SEA,29.0,SEA,SEA,Seattle Seahawks,Seattle,Seattle,Seahawks,Seattle-Seahawks,2020_SEA
2020,SF,SF,4500,SF,SFO,28.0,SF,SF,San Francisco 49ers,San Francisco,San Francisco,49ers,San-Francisco-49Ers,2020_SF
2020,TB,TB,4900,TB,TAM,30.0,TB,TB,Tampa Bay Buccaneers,Tampa Bay,Tampa Bay,Buccaneers,Tampa-Bay-Buccaneers,2020_TB
2020,TEN,TEN,2100,TEN,OTI,31.0,TEN,TEN,Tennessee Titans,Tennessee,Tennessee,Titans,Tennessee-Titans,2020_TEN
2020,WAS,WAS,5110,WSH,WAS,32.0,WAS,WAS,Washington Football Team,Washington,Washington,Football Team,Washington-Football-Team,2020_WAS
2021,ARI,ARI,3800,ARI,CRD,1.0,ARZ,ARI,Arizona Cardinals,Arizona,Arizona,Cardinals,Arizona-Cardinals,2021_ARI
2021,ATL,ATL,200,ATL,ATL,2.0,ATL,ATL,Atlanta Falcons,Atlanta,Atlanta,Falcons,Atlanta-Falcons,2021_ATL
2021,BAL,BAL,325,BAL,RAV,3.0,BLT,BAL,Baltimore Ravens,Baltimore,Baltimore,Ravens,Baltimore-Ravens,2021_BAL
2021,BUF,BUF,610,BUF,BUF,4.0,BUF,BUF,Buffalo Bills,Buffalo,Buffalo,Bills,Buffalo-Bills,2021_BUF
2021,CAR,CAR,750,CAR,CAR,5.0,CAR,CAR,Carolina Panthers,Carolina,Carolina,Panthers,Carolina-Panthers,2021_CAR
2021,CHI,CHI,810,CHI,CHI,6.0,CHI,CHI,Chicago Bears,Chicago,Chicago,Bears,Chicago-Bears,2021_CHI
2021,CIN,CIN,920,CIN,CIN,7.0,CIN,CIN,Cincinnati Bengals,Cincinnati,Cincinnati,Bengals,Cincinnati-Bengals,2021_CIN
2021,CLE,CLE,1050,CLE,CLE,8.0,CLV,CLE,Cleveland Browns,Cleveland,Cleveland,Browns,Cleveland-Browns,2021_CLE
2021,DAL,DAL,1200,DAL,DAL,9.0,DAL,DAL,Dallas Cowboys,Dallas,Dallas,Cowboys,Dallas-Cowboys,2021_DAL
2021,DEN,DEN,1400,DEN,DEN,10.0,DEN,DEN,Denver Broncos,Denver,Denver,Broncos,Denver-Broncos,2021_DEN
2021,DET,DET,1540,DET,DET,11.0,DET,DET,Detroit Lions,Detroit,Detroit,Lions,Detroit-Lions,2021_DET
2021,GB,GB,1800,GB,GNB,12.0,GB,GB,Green Bay Packers,Green Bay,Green Bay,Packers,Green-Bay-Packers,2021_GB
