YEAR,NAME,ALIAS,VENUE_NAME,SURFACE,ROOF_TYPE,STATE
2023,Atlanta Falcons,ATL,Mercedes-Benz Stadium,Artificial,Retractable_dome,GA
2023,New York Jets,NYJ,MetLife Stadium,Artificial,Outdoor,NY
2023,Cleveland Browns,CLE,Cleveland Browns Stadium,Grass,Outdoor,OH
2023,Dallas Cowboys,DAL,AT&T Stadium,Artificial,Retractable_dome,TX
2023,Chicago Bears,CHI,Soldier Field,Grass,Outdoor,IL
2023,Jacksonville Jaguars,JAC,EverBank Stadium,Grass,Outdoor,FL
2023,Tampa Bay Buccaneers,TB,Raymond James Stadium,Grass,Outdoor,FL
2023,Philadelphia Eagles,PHI,Lincoln Financial Field,Grass,Outdoor,PA
2023,Buffalo Bills,BUF,Highmark Stadium,Artificial,Outdoor,NY
2023,Houston Texans,HOU,NRG Stadium,Artificial,Retractable_dome,TX
2023,Seattle Seahawks,SEA,Lumen Field,Artificial,Outdoor,WA
2023,Kansas City Chiefs,KC,GEHA Field at Arrowhead Stadium,Grass,Outdoor,MO
2023,Denver Broncos,DEN,Empower Field at Mile High,Grass,Outdoor,CO
2023,Minnesota Vikings,MIN,U.S. Bank Stadium,Artificial,Dome,MN
2023,Baltimore Ravens,BAL,M&T Bank Stadium,Grass,Outdoor,MD
2023,Indianapolis Colts,IND,Lucas Oil Stadium,Artificial,Retractable_dome,IN
2023,New Orleans Saints,NO,Caesars Superdome,Artificial,Dome,LA
2023,Tennessee Titans,TEN,Nissan Stadium,Grass,Outdoor,TN
2023,Detroit Lions,DET,Ford Field,Artificial,Dome,MI
2023,New England Patriots,NE,Gillette Stadium,Artificial,Outdoor,MA
2023,Carolina Panthers,CAR,Bank of America Stadium,Artificial,Outdoor,NC
2023,Cincinnati Bengals,CIN,Paycor Stadium,Artificial,Outdoor,OH
2023,Green Bay Packers,GB,Lambeau Field,Grass,Outdoor,WI
2023,New York Giants,NYG,MetLife Stadium,Artificial,Outdoor,NY
2023,San Francisco 49ers,SF,Levi's Stadium,Grass,Outdoor,CA
2023,Las Vegas Raiders,LV,Allegiant Stadium,Grass,Dome,NV
2023,Los Angeles Chargers,LAC,SoFi Stadium,Artificial,Outdoor,CA
2023,Washington Commanders,WAS,FedExField,Grass,Outdoor,MD
2023,Miami Dolphins,MIA,Hard Rock Stadium,Grass,Outdoor,FL
